id,description
718,"Our 100% pure organic Herbal Hair Oil is made of nature’s divine ingredients to make your healthy, strong, silky, shiny and help reduce many scalp and hair problems such as hair fall, itchy scalp, dry scalp, dandruff, premature greying and more.
Ulamart’s unique blend of herbs has been used for ages as a tradition in many South Indian families. This traditional hair oil has given proven results in promoting hair growth and it is a one-stop solution to most of the scalp and hair problems.

Ingredients:

100% cold-pressed coconut oil
Tridax procumbens / Vettukaya Poondu
Tanner's cassia / Avarampoo
Henna / Marudhani
Bhringraj / Karisalankanni
Fenugreek / Vendayam
Amla / Gooseberry/ Nellikai
Neem leaf/ Veppilai
Hibiscus / Sembaruthi
Brahmi / Vallarai leaf
Curry Leaves / Karuveppilai
"
719,"Black Chana is a versatile legume which is a rich source of protein for vegetarian diet. Kala Chana is rich in fiber with low glycemic index which makes it a best friend to diabetic diets and for people who are in weight loss diet.
Desi Chana can be used in roasted, boiled, fried or sprouted forms in various types of curries and snacks."
720,"Kudampuli is a magical fruit and a versatile spice. This Malabar Tamarind is a natural anti-oxidant and is an effective catalyst in weight loss. Kudampuli is an integral part of Kerala’s Ayurvedic medicine. Kudampuli has a sour taste and is used to prepare fish curry, juice and chutney."
721,
722,"Dried Neem flower is one of the herbal product used in south India, to cure many types of diseases related to skin, heart and stomach. 
Ulamart takes special care and uses traditional methods to clean, soak it in dried buttermilk and sun dry it in a natural clean environment.
Dried Neem flower can be used to prepare Rasam, Chutney and can be just fried and sprinkled on a variety of dishes. Deep-fried Dried Neem Flowers can serve as a perfect, delicious, healthy and instan side dish for your meals.
Neem flower oil is also used in Aromatherapy to provide a soothing and calming effect on skin and mind. Also, try our unique Neem Honey to get the benefit of Neem flower in a sweeter way!"
724,"Dried Neem flower is one of the herbal product used in south India, to cure many types of diseases related to skin, heart and stomach. 
Ulamart takes special care and uses traditional methods to clean, soak it in dried buttermilk and sun dry it in a natural clean environment.
Dried Neem flower can be used to prepare Rasam, Chutney and can be just fried and sprinkled on a variety of dishes. Deep-fried Dried Neem Flowers can serve as a perfect, delicious, healthy and instan side dish for your meals.
Neem flower oil is also used in Aromatherapy to provide a soothing and calming effect on skin and mind. Also, try our unique Neem Honey  to get the benefit of Neem flower in a sweeter way!"
725,"Dried Neem flower is one of the herbal product used in south India, to cure many types of diseases related to skin, heart and stomach. 
Ulamart takes special care and uses traditional methods to clean, soak it in dried buttermilk and sun dry it in a natural clean environment.
Dried Neem flower can be used to prepare Rasam, Chutney and can be just fried and sprinkled on a variety of dishes. Deep-fried Dried Neem Flowers can serve as a perfect, delicious, healthy and instan side dish for your meals.
Neem flower oil is also used in Aromatherapy to provide a soothing and calming effect on skin and mind. Also, try our unique Neem Honey to get the benefit of Neem flower in a sweeter way!"
726,"Combo pack Black Rice, Karun Kuruvai , Kattuyanam, Mappillai Samba, Red Rice / Sivappu Kavuni and Kudavazhai rices are for sale.

Quantity
Black Rice 500gm 
Karun Kuruvai 500gm 

Kattuyanam 500gm 
Mappillai Samba 500gm 

Red Rice / Sivappu Kavuni 500gm 

Kudavazhai 500gm 
 "
727,"Exclusive Rice for Women.


Poongar raw rice is one of the traditional rice, it is slightly pink in color 
Rice by pregnant women, leads to normal vaginal delivery.
Those who love raw rice can also try poongar traditional raw rice
"
736,Angry Bird Money Bank
737,Cat Money Bank
738,"All natural ladle is made with carved and polished coconut shells. Perfect for serving curries and soups

Free of any chemicals
Crafted by hand! 
"
739,"All natural serving spoon is made with carved and polished coconut shells. Perfect for serving rice.

Free of any chemicals
Crafted by hand! 
"
740, Combo Pack - Idli rice- White Urad Dal
741,"Let's do the Shopping Garbage-free!
You can also use this bag to store your Vegetables.
A good replacement for Nylon Based Refrigerator Bags.
Number of bags - 3
capacity of each bag - 5kg"
742,"Recycled Paper Executive Notebook.
200 Pages A5 Size.
Ruled.
A Paper Pen with Holder.
A small Bookmark."
743,"Here is Plantable Notebook.
The Cover is made from Handmade Paper embedded with Seeds."
744,"Pencils made from Recycled Paper.
Seeds attached at one end of the Pencils.
Non-Toxic Edible Colour applied on the pencils for attractive Looks."
745,"Drawing Pencils made from Newspapers.
Full Length Pencils that lasts longer.
Available in 10 Shades with Tube.
#NoWood #NoPlastic"
746,"Paper pen Could be an alternative to Plastic Based Pens.
Let's grow a plant once you have done writing."
756,"Our Clay houses are chemical free and is made of pure Indian Clay that are naturally rich in minerals. Add this clay house to your existing ulamart clay toys. 
Kindly check our related products for more products.
Size : 3 inches
"
757,Piggy Bank for kids
758,Angry Bird Money Bank
759,"Premium clay kumkum box.

Our products are made of pure natural clay and are unglazed.
No chemical, No artificial colors.
Bio-degradable
Eco-friendly
Non-toxic

Note: Each kumkum design may vary.
"
760,Fish Money Bank
761,"All natural spoon is made with carved and polished coconut shells. Perfect for serving pickel, .

Free of any chemicals
Crafted by hand! 
Material: Coconut Shell
Color: Brown
No harsh chemicals or dyes used
"
762,"Indigenous to Tamil Nadu, this traditional rice is rich in minerals, vitamins and proteins that it is served to a bridegroom to prove his valiance. It strengthens body and boosts immune system and keeps us away from many health problems/disorders. It can be used to prepare idly, Dosa, pancakes and other rice recipes"
763,"Thooyamalli Raw Rice 

Since it is raw rice and directly comes from farmer, you may see very few broken rice which is natural. "
768,Organically grown Sivan Samba rice
773,"White Raw Rice for pongal.

Used for making Pongal , regular meals

Since it is raw rice and directly comes from farmer, you may see very few broken rice which is usual. "
778,"Buy Organic country popcorn from Ulamart farmer."
783,"Organic Natural Palm sugar / panakarkandu / Palam Candy
Palm Candy is a natural sweetener which is unrefined and unbleached and makes it a healthier sweetener alternative. Palm candy is rich in minerals like calcium and iron. It is also filled with multivitamins, phytonutrients like zinc and potassium.

Palm candy contains less glucose with lower glycemic index when compared to other forms of sweeteners such as white sugar, table sugar, honey etc. This makes palm candy a better option as it does not allow the energy levels to spike or crash instantly."
786,
787,"Homemade sundried Mappillai Samba Rice Fryums feeds your craving taste buds along with the mouth-watering taste and nourishment. 
It is a unique product of Ulamart, prepared in a clean environment with utmost care.
No MSG
No Preservatives"
791,"Palm Jaggery commonly known as Karupatti is an age-old natural sweetener in South India. Palm Jaggery is free from chemicals and bleach which makes it a good alternative to chemically processed white sugar. Palm sugar or palm jaggery is rich in dietary fibre which helps with digestion and improves bowel movements. It is filled with many nutrients like magnesium, calcium and potassium. Earlier introduction of palm Jaggery to your diet will help in the prevention of diabetes by balancing blood sugar levels because it has a low glycemic index. Instruction: Dissolve the required amount of Jaggery in little water and sieve it using a tea filter. Use this dissolved liquid in your dishes."
793,
794,Kattuyanam flakes 
799,Pearl millet Flakes
807,
808,"Cardamom is unique among spices. Used in desserts, tea, coffee, etc. We cannot simply define cardamom as a fragrant substance. It has many medicinal properties"
811,"Cumin has a unique aroma and a strong flavour, which is perfect for seasoning vegetables, curries and rice-based dishes. A sprinkle of roasted cumin powder adds a delicious aroma to vegetables, buttermilk, stuffed rotis, kebabs and lemonade.
Cumin is widely used to enhance the flavour of the dish along with its numerous health benefits. Apart from enhancing flavour, it also helps with digestion and it is known to be good for diabetes. Cumin also treats stomach problems. Cumin not only has digestive properties but is also known to cool down the body."
814,"Why do we use cloves in Biryani? Cloves are known to have antimicrobial properties, which stops the growth of many harmful microorganisms. Cloves are also well known to cure gum diseases as it kills the harmful bacteria in the mouth. Cloves also reduces the growth of cancer cells."
815,"Fennel seeds are usually pale green or brown in colour and have an aroma similar to anise but in a much milder form. It has a slightly sweet taste which can be used to flavour curries, bread, chutneys and desserts. Fennel Seeds are also chewed after a meal as it aids digestion.

Fennel seeds are used in various dishes as a seasoning, but it does more than just flavour the dishes.  It is filled with nutrients and minerals like Vitamin C, iron, magnesium, calcium, and potassium, to name a few. Fennel Seeds help reduce inflammation and eliminates bacteria from our body."
818,
819,Star Anise
823,"Buy 0.5 kg Organic Desi A2 Cow Ghee and get 0.5 kg Country Sugar Free
Ulamart A2 Cow Ghee is obtained using traditional methods from the oldest native Kanchipuram Kuttai cows. These cows are indigenous to Tamilnadu which graze in the natural organic environment. Kanchikuttai cow produces healthier A2 milk which has abundant nutritional value.
Experience the taste of 100% pure Ghee.
Free from unhealthy additives, preservatives and trans fats
Ulamart country sugar is chemical free and it is extracted from raw sugarcane without adding any additives."
824,"Our Black Clay houses are chemical free and is made of pure Indian Clay that are naturally rich in minerals. Add this clay house to your existing ulamart clay toys. 
Kindly check our related products for more products.
Colour : Natural Black - No Chemicals
Size : 3 inches
"
825,"This Black earthen pot with Lid can be used to store Dahi/Curd or any types of Curries and Subzi.
Capacity - 350 ml
Colour - Black

Natural Black 
Our products are made of pure natural clay and are unglazed.
No chemical, No artificial colors.
Bio-degradable
Eco-friendly
Non-toxic

Cleaning instructions:


 For the first use, soak the product in rice starch water for 24hrs.
 For regular usage, clean with hot water &amp; brush. No chemical washing products are required.
 Use rock salt and scrub pad &amp; soak in hot water for half an hour, to clean stubborn stains.
 Make use of baking soda to remove absorbed odors of garlic, onion etc.
"
827,"Coloured Clay Kitchen set.
Product Description:
24 different Miniature Pieces of Kitchenware's. Do not use those pot for storage.
Note:
This product is completely hand made and comes directly from the craftsman. We are drying this using 100% sunlight and no external light source. You would see the craftsmanship in each piece of these items. So this product has a high demand. This is really fragile and needs the utmost care in packing."
828,"Mappillai Samba Par Boiled Broken Rices
Indigenous to Tamil Nadu, this traditional rice is rich in minerals, vitamins and proteins that it is served to a bridegroom to prove his valiance. It strengthens body and boosts immune system and keeps us away from many health problems/disorders. It can be used to prepare idly, Dosa, pancakes and other rice recipes"
834,
835,
836,"Natural Honey
We will be shipping Natural honey in plastic bottle. "
839,
840,
841,
842,"Moringa Idly / Chutney powder is a matchless blend of health and taste combined together. It is one of the Unique homemade product of Ulamart. Hygienically prepared to provide you with all the health benefits of the superfood - ""Moringa / Drumstick leaves"".
Simply serve this with Idly, Dosa or mix with rice and get the utmost benefit of Moringa leaf.
Free from artificial flavours or colours.
No MSG.
No preservatives.

Storage: Store it in an airtight container in a cool and dry place.
Shelf life: 2 months (Can be refrigerated for the extended shelf life of up to 6 months)"
845,
852,"Your Kids can make real food with this kitchen set.
Give your kids the best kitchen play set made of natural clay. Ideal material for miniature cooking and you make food with our clay kitchen set. Bring back the old traditional play materials which are free from plastics and chemicals. 

Reusable and washable. 
No chemical, No artificial colors.

Product Description:
11 different Miniature Pieces of Kitchenware's."
855,
858,
859,"களிமண் காய்கறி பழங்கள்
களிமண்ணால் செய்த காய்கறிகள் மற்றும் பழ வகைகள் காய்கறி பழங்கள்"
860,Organically grown Kallundai samba rice 
864,
868,
871,"This admirably designed double-sided pumice styled foot scrubber is ideal for a sophisticated pedicure at home. It helps in exfoliating the dry skin, thick hard skin, ugly calluses, unclog the pores and remove unsightly corn.
Scrubbing your feet using this natural clay scrubber improves blood circulation and detoxification, without causing any cuts or bruises to your skin.
This clay foot scrubber can be used not only on your legs &amp; feet but also on your hand &amp; elbow.
This eco-friendly, hand-crafted scrubber has an ergonomic design with perfect grip."
872,"Provide your kids with this natural, pure and eco-friendly smooth clay to make different kinds of art, craft, pottery, figures etc.
Enhances the imagination of your kids, improves hand and eye coordination.
Cut, floss, shape it out, break it, fumble, do as you wish to experience ASMR(Autonomous sensory meridian response) with this natural clay!
Unlike modern clay, this natural clay is free from chemicals.
Bring back our olden ways of playing, to the kids of this generation.
This playing material is:

Natural
Reusable
Chemical-free.
Eco-friendly

 


Your Kids can make real pot using our Wet clay
This toxic-free wet clay is the best modelling clay for kids, experimenting with this will boost their brain development and enhance imaginative skills. This raw clay for sale weighs one kg, which is a rewarding quantity at an affordable price. It is garnered in a pure way and sieved to perfection. This could be used for making pottery and its apt consistency makes it the best choice to buy pottery clay online. It also increases eye-hand coordination and is the best alternative to mobile games and computers.

Instruction:
1. After each use, store in an airtight container/ plastic wrap, to avoiding hardening of clay.
2. If the clay is hardened after many uses, soak in water for few hours or sprinkle some water until it turns soft."
875,Valan Samba Organic  Rice
881,"Karuppu Kavuni(Black Rice) flakes are highly rich in fiber, antioxidants and acts as a perfect detoxifier for liver, prevents diabetes, cancer."
886,"Red rice flakes are one of the best alternatives for white rice flakes. Flattened red rice can be introduced in your breakfast and evening snacks to provide a healthy variation to your normal food. Red rice flakes have all the benefits of Red Rice along with the additional benefit of probiotics and it’s easy to digest. Gut friendly Red rice flakes!"
891,"Karuppu Kavuni Rice (Par Boiled)
Commonly called by the name Emperor’s rice, black rice was believed to be consumed by ancient Chinese. This forbidden rice contains more phytonutrients in it.
It is highly rich in fiber, antioxidants and acts as a perfect detoxifier for liver, prevents diabetes, cancer
Many recipes are made using Black rice. Most popular among them is Dosa, puttu, Pudding with Coconut & Mango, Risotto, plain rice with various curries and others."
897,"Whole Wheat flour is a versatile ingredient which has lately gained its popularity in South India as well. Whole Wheat flour can be used to make Roti, Dosa, Whole wheat bread, Pancakes etc. Whole Wheat flour is unpolished and contains all the important nutrient values which is good to boost our immune system.
Ulamart’s Whole Wheat flour is 100% GMO free and organic, without stripping the valuable nutrients.

Make soft Roti’s with Organic Whole Wheat Flour and ensure that you are providing a healthy food to your Family.
"
903,Matta rice
911,"
Large Bowl:- Capacity - 600 ml

Small Bowl:- Capacity - 350 ml"
912,கேழ்வரகு அவுல்
916,Traditional Rice - Kuzhiyadichan / Kuliadichan Red Boiled Rice
922,"நமது பாரம்பரிய அரிசியில் சூரக்குருவையும் ஒன்று, ஒரு சில விவசாயிகள் தங்களின் குடும்ப தேவைக்கும் மட்டும் பயிரிடப்பட்ட சூரக்குருவை அரிசி, மீண்டும் பல இயற்கை விவசாயிகளின் கவனம் ஈர்த்துள்ளது. சூரக்குரவை சிவப்பு அரிசி ரகம். 
குறிப்பு: உடல் எடை குறைத்து, உடல் உறுதி பெற உதவுகிறது. 
"
929,கருங்குறுவை முறுக்கு வத்தல்
932,"With the goodness of Vallarai, this Idly-dosa podi is made with handpicked healthy ingredients. Vallarai is a medicinal plant with numerous health benefits. This powder is also known as Podi(in Tamil) which consists of ground dried Vallarai along with perfect blend of pulses/dal.
Made with pure natural ingredients it is the best daily alternative to have with your Idly-dosa.
This unique Idly-dosa podi is sure to treat your taste buds and health too.
This Brahmi powder can also be sprinkled on your subzi/ side dish to add extra taste and health to it.
It is free from

Preservatives
Artificial ingredients
Chemicals
Flavour enhancers
Artificial Color
"
935,
936,"கருமையான ஆரோக்கியமான கேசம் பெற சீயக்காய் தலை குளியல் பொடி, உடலின் சூட்டை குறைத்து, உறுதியான தலைமுடி பெற சீயக்காய் பொடியை நமது முன்னோர்கள் பயன்படுத்தி உள்ளார்கள்.
Alternative Names: பெங்காலி : பன் ரித | குஜராத்தி : சீயக்காய்| ஹிந்தி : seeyakai | Shikakai  |வன் ரித | கன்னடம் : சீகே காயி | கொங்கணி : சீகாயி | மலையாளம் : சினிக்க/சீவக்க | மராத்தி : ஷிகேக்கை | ஒடிய | பான ரித | சமஸ்க்ரிதம் : கண்டவல்லி/சிவவள்ளி/ஸ்ரீரவல்லி | தமிழ்: சீகை-க்-காய்
இதன் தனி சிறப்பு: சீயக்காய் பொடியை தலைமுடிக்கு மட்டுமல்லாது, உடற்குளியல் பொடியாகவும், வாரம் இருமுறை நல்-எண்ணெய் தேய்த்து குளிக்க, எண்ணெய் பசை தன்மை நீங்க. மேலும், சாதாரண ஷாம்பூ உடன் கண்டிஷனர் அவசியம் பயன்படுத்த வேண்டும். ஆனால் சீயக்காய் பொடி இயற்கையான ஷாம்பு மற்றும் கண்டிஷனரா செயல் படுகிறது."
938,Clay Idli and Dosa Maker Medium Size
941,கருங்குறுவை கஞ்சி வத்தல்
944,"தயிர் சட்டி:
 கொள்ளவு: 360மிலி
இந்த மூடியுடன் கூடிய சட்டியை தயிர் சட்டியாக அல்லது குழம்பு சட்டியாகவும் பயன்படுத்தலாம்.
இதில் தயிர், குழம்பு, ரசம் போன்ற திரவ வகையாகவோ, சூப் பரிமாறவோ, சுண்டல், கடலை போன்ற சிற்றுண்டி பரிமாறவோ பயன்படுத்தலாம். மண்சட்டியில் இயற்கையாகவே உள்ள, உடலுக்கு தேவையான அத்தியாவசியமான சத்துக்களான கால்சியம், இரும்புசத்து, மெக்னீசியம், பாஸ்பரஸ் மற்றும் கந்தக சத்து மண்சட்டி மூலமாக கிடைக்க உதவுகிறது.
இதில் சமைத்த உணவின் சூடு சாதாரண பாத்திரங்கள் போல் அல்லாமல் நெடுநேரம் வரை வெதுவெதுப்பாக வைக்க உதவும். மேலும், உணவின் சுவை, உணவில் உள்ள அத்தியாவசிமான சத்துக்களை காக்க உதவுகிறது.
இந்த மண்சட்டியில் இயற்கையான களிமண் கொண்டு தயாரிக்கப்படுகிறது. மேலும், மண்சட்டியை மீது மேல்பூச்சு எதுவும் பூசப்படவில்லை."
946,
954,இலவங்கப்பட்டை
955,Coloured Asian Clay Kitchen - decor item
956,thanjavur thalaiyatti bommai
957,Get Beautiful Thanjavur Bommai from Ulamart.com
958,"No artificial flavours or colours.

No MSG.

No preservatives.

Storage: Store it in an airtight container in a cool and dry place."
959,நரம்புகளை பலப்படுத்தும் வசம்பு
960,"Stone miniature kitchen set for kids
Use Offer Code: STONEMINI , Get 222 Rs off."
961,"
பாரம்பரிய மசாலா அரைத்தல்
கைக்கு அடக்கமானது மற்றும் பயன்படுத்த வசதியானது
திடமான, அடர்த்தியான, நல்ல தரமான கல்லால் ஆனது
வாடிக்கையாளருக்கான பிரீமியம் தரமான தயாரிப்பு
"
962,"
Traditional Spice Grinding stone
User Friendly
Handy And Convenient To Use
Made Of Good Quality Stone
"
963,"Ammikal is a south-Indian kitchen essential that is used for grinding chutney for idli & dosa, masalas items for a curry. Why should not you introduce this miniature ammikal for your kids to show how we made dishes in the traditional method."
965,"Vetti veru also known as Khas Khas grass or Khus is a special herb with unique earthy frangrance. Vetti veru is nature’s tonic to rejuvenate mind and body. Vetti veru herb syrup is well known to reduce body heat. This unique root is used to reduce impurities in water; cures stomach related issues and cold symptoms. Adding it to drinking water is the easiest way to boost our immune system.

Weight : 100 gram"
968,Baby Ganesh Idol
969,"Atukal is a south-Indian kitchen essential that is used for grinding chutney, idli & dosa batter, masalas items for a curry. Why should not you introduce this miniature atukal for your kids to show how we prepare dosa batter in the traditional method."
970,
